Year,Dis Mag Value,Total Deaths,No Injured,No Affected,No Homeless,Total Affected
2010,,1,,15480,,15480
2010,22340,27,,40000,,40000
2010,,,,200000,,200000
2010,,,,80920,,80920
2010,3873,258,,8970653,,8970653
2010,,84,75,679750,,679825
2010,,21,,761000,,761000
2010,33659,31,8,39000,,39008
2010,45584,50,,10000,,10000
2011,,,,60,1000,1060
2011,10402,,,12000,,12000
2011,41506,21,,750,,750
2011,25963,16,1,241776,,241777
2011,3623,23,164,638254,,638418
2011,71700,12,3,944778,,944781
2011,33575,64,,716110,,716110
2011,36797,14,,37000,,37000
2011,62167,2,,20000,,20000
2011,6361,31,,121005,,121005
2011,44521,11,,2000,,2000
2011,17351,18,,3000,,3000
2011,2457,10,,54,,54
2011,,13,,,3000,3000
2011,,34,,430000,,430000
2011,,151,,35734,,35734
2011,,2,,871,,871
2011,,5,13,16178,,16191
2011,96785,813,,9500000,,9500000
2011,13466,247,23,1640000,,1640023
2011,,,,274,,274
2011,,,,185,,185
2011,3076,,,8610,,8610
2011,,,,30858,,30858
2011,,,,469,,469
2011,,,,2060,,2060
2011,,12,9,171800,,171809
2011,,10,,39520,,39520
2011,,24,,300000,,300000
2011,,85,,600000,,600000
2011,,13,14,461570,,461584
2012,,8,,3770,,3770
2012,,8,,625,,625
2012,,3,,10500,,10500
2012,,,,1150,,1150
2012,,4,5,1040,,1045
2012,,13,,15210,,15210
2012,,5,20,,1000,1020
2012,,14,,71500,,71500
2012,219814,2,,85000,,85000
2012,,,,12300,,12300
2012,23516,1,,700,,700
2012,,4,,88570,,88570
2012,,,,569,,569
2012,39825,,,25000,,25000
2012,,112,14,4451711,,4451725
2012,,11,,,4835,4835
2012,,29,2,,30927,30929
2012,44011,,,235545,,235545
2012,24179,34,40,,17500,17540
2013,28874,17,,58040,,58040
2013,,12,,8140,,8140
2013,1746,34,,248846,,248846
2013,67600,8,,1000,,1000
2013,,11,,115000,,115000
2013,,,,23640,,23640
2013,31024,,,16000,,16000
2013,22525,,,22500,,22500
2013,,10,,507769,,507769
2013,50412,31,30,3096392,,3096422
2013,,11,21,100000,,100021
2013,,20,,207971,,207971
2013,52283,200,,1500000,,1500000
2013,,20,77,350000,,350077
2013,,3,,224176,,224176
2013,125251,7,,73300,,73300
2013,106698,4,,75000,,75000
2013,,33,8,588147,,588155
2013,,,,,,
2013,312091,61,,3500000,,3500000
2013,38676,23,,,15254,15254
2013,,23,,,,
2013,,29,,1000,,1000
2013,,5,,5000,,5000
2013,,30,,,,
2013,,7,,25000,,25000
