Country,FLASHFLOOD,RIVERINE FLOOD,COASTAL FLOOD
Philippines(the),28,47,4
Vietnam,14,36,4
Indonesia,9,73,0
Thailand,17,12,0
Cambodia,2,10,0
Malaysia,7,20,0
Lao People's Democratic Republic,1,7,0
Myanmar,41,14,0
Timor-Leste,0,4,0
