Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 29 Mar 2022 08:25:44 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations,
2006-0429-VNM,2006,0429,,Natural,Hydrological,Flood,Flash flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Bac Kan, Vinh Phuc, Lang Son provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2006,7,18,2006,7,18,12,,,2000,2000,,,,,,,74.39638749,"Bac Kan, Lang Son, Vinh Phuc (Adm1).",
2006-0446-VNM,2006,0446,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Binh Thuan, Nghe An, Quang Binh, Quang Tri, Dak Lak, Dong Nai, Lam Dong, Cao Bang, Ha Tinh, Thua Thien Hue, Dak Lak, Dak Nong, Yen Bai, Thanh Hoa, Phu Tho provinces",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,119500,2006,8,12,2006,8,30,42,20,50000,,50020,,,,,8000,10753,74.39638749,"Binh Thuan, Cao Bang, Dak Lak, Dak Nong, Dong Nai, Ha Tinh, Lam Dong, Nghe An, Phu Tho, Quang Binh, Quang Tri, Thanh Hoa, Thua Thien - Hue, Yen Bai (Adm1).",
2006-0605-PHL,2006,0605,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Davao del Norte district (Region XI province),Heavy rain,Broken Dam/Burst bank,,,,,,3680,2006,10,21,2006,10,27,2,,40000,,40000,,,,,763,1026,74.39638749,Davao del Norte (Adm2).,
2006-0451-KHM,2006,0451,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kampong Seila district (Koh Kong province), Phnom Penh, Kampong Speu, Kampot, Ratanak Kiri, Mondul Kiri provinces",Monsoonal rain,Rain,,,,,,55860,2006,8,10,2006,11,1,5,,33000,,33000,,,,,,,74.39638749,"Kampong Speu, Kampot, Mondul Kiri, Phnom Penh, Ratanak Kiri (Adm1). Kampong Seila (Adm2).",
2006-0368-KHM,2006,0368,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,Koh Kong province,Monsoonal rain,,,,,,,11610,2006,7,6,2006,7,7,,,5000,,5000,,,,,,,74.39638749,Koh Kong (Adm1).,
2006-0544-MMR,2006,0544,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,Mandalay province,Monsoonal rain,,,,,,,188000,2006,9,15,2006,10,19,25,,10000,,10000,,,,,,,74.39638749,Mandalay (Adm1).,
2006-0037-MYS,2006,0037,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,Johor province,Heavy rains,,,,,,,,2006,1,9,2006,1,9,,,1112,,1112,,,,,,,74.39638749,Johor (Adm1).,
2006-0113-MYS,2006,0113,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Terengganu, Pahang, Kelantan provinces",Heavy rains,,,,,,,,2006,2,10,2006,2,18,,,4906,,4906,,,,,,,74.39638749,"Kelantan, Pahang, Terengganu (Adm1).",
2006-0226-MYS,2006,0226,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kampung Manjoi borough (Ipoh city, Kinta district, Perak province)",Heavy rain,,,,,,,2590,2006,4,20,2006,4,21,,,500,,500,,,,,,,74.39638749,Kinta (Adm2).,
2006-0040-PHL,2006,0040,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Nueva Ecija, Aurora districts (Region III province), Kalinga, Abra districts (CAR province), Cagayan, Isabela districts (Region II province), Quezon district (Region IV-A province)",Tropical Depression Agaton,,,,,,,63470,2006,1,26,2006,2,5,4,,256641,,256641,,,,,9600,12904,74.39638749,"Abra, Aurora, Cagayan, Isabela, Kalinga, Nueva Ecija, Quezon (Adm2).",
2006-0137-PHL,2006,0137,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Carmen area (Bohol district, Region VII province)",Heavy rains,,,,,,,630,2006,3,4,2006,3,6,1,,1000,,1000,,,,,,,74.39638749,Bohol (Adm2).,
2006-0563-PHL,2006,0563,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Pasonanca, Tugbungan, Tumaga, Putik, Guiwan, Baliwasan, San Jose Gusu, Tetuan areas (Zamboanga Del Sur district, Region IX province)",Heavy rains,,,,,,,,2006,10,4,2006,10,8,3,,4250,,4250,,,,,399,536,74.39638749,Zamboanga Del Sur (Adm2).,
2006-0113-THA,2006,0113,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Narathiwat, Nakhon Si Thammarat, Chumphon, Surat Thani provinces",Heavy rains,,,,,,,,2006,2,10,2006,2,18,,,2000,,2000,,,,,,,74.39638749,"Chumphon, Nakhon Si Thammarat, Narathiwat, Surat Thani (Adm1).",
2006-0366-VNM,2006,0366,,Natural,Hydrological,Flood,Flash flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,Bac Me district (Ha Giang province),Heavy rain,,,,,,,560,2006,7,9,2006,7,11,4,100,,,100,,,,,1000,1344,74.39638749,Bac Me (Adm2).,
2006-0451-VNM,2006,0451,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"An Giang, Dong Thap provinces",Monsoonal rain,,,,,,,,2006,8,10,2006,11,1,60,,,,,,,,,,,74.39638749,"An Giang, Dong Thap (Adm1).",
2006-0736-VNM,2006,0736,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Binh Dinh, Da Nang City, Gia Lai, Ha Tinh, Kon Tum, Nghe An, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue, An Giang, Ba Ria-Vung Tau, Bac Lieu, Ben Tre, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Can Tho City, Dak Lak, Dak Nong, Dong Nai, Dong Thap, Hau Giang, Ho Chi Minh City, Khanh Hoa, Kien Giang, Lam Dong, Long An, Ninh Thuan, Phu Yen, Soc Trang, Tay Ninh, Tien Giang, Tra Vinh, Vinh Long, Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai provinces",Heavy rain,,,,,,,,2006,10,12,2006,10,17,60,,,,,,,,,,,74.39638749,"An Giang, Ba Ria-Vung Tau, Bac Giang, Bac Kan, Bac Lieu, Bac Ninh, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Can Tho city, Cao Bang, Da Nang City, Dak Lak, Dak Nong, Dien Bien, Dong Nai, Dong Thap, Gia Lai, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Ha Tinh, Hai Duong, Hai Phong City, Hau Giang, Ho Chi Minh City, Hoa Binh, Hung Yen, Khanh Hoa, Kien Giang, Kon Tum, Lai Chau, Lam Dong, Lang Son, Lao Cai, Long An, Nam Dinh, Nghe An, Ninh Binh, Ninh Thuan, Phu Tho, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Ninh, Quang Tri, Soc Trang, Son La, Tay Ninh, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien - Hue, Tien Giang, Tra Vinh, Tuyen Quang, Vinh Long, Vinh Phuc, Yen Bai (Adm1).",
2007-0022-PHL,2007,0022,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Agusan del Norte, Agusan del Sur districts (Region XIII province), Davao del Norte, Davao del Sur districts (Region XI province), Region VI, Region VII, Region VIII provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,44620,2007,1,10,2007,1,24,9,,24508,,24508,,,,,4080,5332,76.5186792,"Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) (Adm1). Agusan Del Norte, Agusan Del Sur, Davao del Norte, Davao Del Sur (Adm2).",
2007-0021-MYS,2007,0021,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Johor, Pahang provinces",Monsoonal rain,,,Yes,,,,26380,2007,1,11,2007,2,1,17,,137533,,137533,,,,,605000,790657,76.5186792,"Johor, Pahang (Adm1).",
2007-0086-IDN,2007,0086,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Reok, Cibal, Wae Ri'i, Lamba Leda, Poco Renaka, Ruteng, Langke Rembong, Kota Komba, Sambi Rampas areas (Manggarai district, Nusatenggara Timur province), Manggarai Barat district (Nusatenggara Timur province) (East Nusa Tengarra province, Flores Isl.))",Torrential rain,"Slide (land, mud, snow, rock)",,,,,,3220,2007,3,1,2007,3,10,74,26,11530,,11556,,,,,,,76.5186792,"Manggarai, Manggarai Barat (Adm2).",
2007-0283-IDN,2007,0283,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Donggala district (Sulawesi Tengah province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2007,7,,2007,7,,58,,5000,,5000,,,,,,,76.5186792,Donggala (Adm2).,
2007-0312-IDN,2007,0312,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Morowali, Donggala, Parigimoutong, Poso, Tojounauna, Banggai, Toli-toli districts (Sulawesi Tengah province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,4600,2007,7,22,2007,8,7,88,12,3377,,3389,,,,,,,76.5186792,"Banggai, Donggala, Morowali, Parigimoutong, Poso, Tojounauna, Toli-toli (Adm2).",
2007-0610-IDN,2007,0610,FL-2007-000230,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Banyumas, Batang, Blora, Demak, Cilacap, Grobodan, Karanganyar, Klaten, Kota Surakarta, Kudus, Pati, Pekalongan, Pemalang, Sragen, Sukoharjo, Tegal, Wonogiri districts (Jawa Tengah province), Bojonegoro, Gresik, Jember, Jombang, Lamongan, Lumajang, Madiun, Magetan, Mojokerto, Ngawi, Pacitan, Ponogoro, Trenggalek, Tuban, Tulungagung districts (Jawa Timur province), Kota Padang district (Sumatera Barat province)",Seasonal torrential rain,"Slide (land, mud, snow, rock)",,,,,,50690,2007,12,25,2007,12,,127,95,259545,9875,269515,,,,,,,76.5186792,"Banyumas, Batang, Blora, Bojonegoro, Cilacap, Demak, Gresik, Grobogan, Jember, Jombang, Karanganyar, Klaten, Kota Padang, Kota Surakarta, Kudus, Lamongan, Lumajang, Madiun, Magetan, Mojokerto, Ngawi, Pacitan, Pati, Pekalongan, Pemalang, Ponorogo, Sragen, Sukoharjo, Tegal, Trenggalek, Tuban, Tulungagung, Wonogiri (Adm2).",
2007-0447-IDN,2007,0447,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Pasir, Kota Balikpapan districts (Kalimantan Timur province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,5690,2007,9,2,2007,9,4,4,,1000,,1000,,,,,,,76.5186792,"Kota Balikpapan, Pasir (Adm2).",
2007-0175-IDN,2007,0175,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kutai Barat, Kutai Kartanegara districts (Kalimantan Timur province)",Heavy rain,,,,,,,34350,2007,5,15,2007,6,5,4,,60000,,60000,,,,,,,76.5186792,"Kutai Barat, Kutai Kartanegara (Adm2).",
2007-0309-IDN,2007,0309,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Larompong, Suli areas (Luwu district, Sulawesi Selatan province)",Heavy rain,,,,,,,2400,2007,7,25,2007,8,2,15,,2000,,2000,,,,,,,76.5186792,Luwu (Adm2).,
2008-0092-IDN,2008,0092,FL-2008-000030,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Jepara, Pati districts (Jawa Tengah province), Ende, Ngada, Sikka, Sumba Barat, Timor Tengah Utara, Kupang districts (Nusatenggara Timur province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2008,2,11,2008,2,27,11,,3500,,3500,,,,,,,79.4563044,"Ende, Jepara, Kupang, Ngada, Pati, Sikka, Sumba Barat, Timor Tengah Utara (Adm2).",
2008-0526-IDN,2008,0526,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Campaka, Cibeber areas (Cianjur district, Java Barat province), Sumatera Barat, Bengkulu, Sulawesi Selatan, Sulawesi Tengah, Sulawasi Barat, Sulawesi Tenggara, Jawa Tengah, Jawa Timur, Kalimantan Timur provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2008,11,15,2008,11,16,33,,83000,1420,84420,,,,,,,79.4563044,"Bengkulu, Jawa Tengah, Jawa Timur, Kalimantan Timur, Sulawesi Barat, Sulawesi Selatan, Sulawesi Tengah, Sulawesi Tenggara, Sumatera Barat (Adm1). Cianjur (Adm2).",
2008-0108-IDN,2008,0108,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Boyolali, Klaten, Kota Surakarta, Sukoharjo districts (Jawa Tengah province), Bojonegoro, Lamongan, Ngawi districts (Jawa Timur province)",Heavy rain,Broken Dam/Burst bank,,,,,,11590,2008,3,1,2008,3,14,3,,12000,,12000,,,,,,,79.4563044,"Bojonegoro, Boyolali, Klaten, Kota Surakarta, Lamongan, Ngawi, Sukoharjo (Adm2).",
2008-0067-IDN,2008,0067,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Situbondo district (Jawa Timur province),Heavy rain,,,,,,,400,2008,2,8,2008,2,12,14,,7000,,7000,,,,,,,79.4563044,Situbondo (Adm2).,
2008-0176-IDN,2008,0176,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Aceh Barat district (Nangroe Aceh Darussalam province),Heavy rain,,,,,,,4200,2008,4,23,2008,4,27,,,34514,,34514,,,,,,,79.4563044,Aceh Barat (Adm2).,
2008-0013-IDN,2008,0013,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bogor, Kota Depok districts (Jawa Barat province), Kota Jakarta Timur, Kota Jakarta Selatan districts (Dki Jakarta province), Tangerang district (Banten province)",Heavy rains,,,,,,,2180,2008,1,2,2008,1,6,,,1000,,1000,,,,,,,79.4563044,"Bogor, Kota Depok, Kota Jakarta Selatan, Kota Jakarta Timur, Tangerang (Adm2).",
2008-0042-IDN,2008,0042,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Jakarta Barat, Kota Jakarta Pusat, Kota Jakarta Timur districts (Dki Jakarta province)",Heavy rain,,,,,,,380,2008,2,1,2008,2,6,3,,88261,1500,89761,,,,,,,79.4563044,"Kota Jakarta Barat, Kota Jakarta Pusat, Kota Jakarta Timur (Adm2).",
2008-0052-IDN,2008,0052,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Pasuruan district (Jawa Timur province),Heavy rain,,,,,,,810,2008,1,30,2008,1,31,3,,40000,,40000,,,,,653,822,79.4563044,Pasuruan (Adm2).,
2008-0128-IDN,2008,0128,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kampar, Kota Pekanbaru, Kuantan Singingi districts (Riau province)",Heavy rain,,,,,,,80090,2008,3,10,2008,4,3,,,60000,,60000,,,,,,,79.4563044,"Kampar, Kota Pekanbaru, Kuantan Singingi (Adm2).",
2008-0383-IDN,2008,0383,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Limba B, Biwau, Biawao, Donggala, Limba U2, Moodu, Heledula Utara, Heledulaa Selatan, Ipilo, Bugis, Tenilo, Dembe Jaya II, Dembe Jaya, Wongkaditi Timur areas (Gorontalo district, Gorontalo province), Kota Gorotalo, Bonebolango districts (Gorontalo province), Sumatra Utara, Sulawesi Selatan, Maluku, Riau, Sulawesi Tengah, Jawa Barat, Kalimantan Selatan, Kalimantan Tengah, Kalimantan Timur provinces",Monsoonal rains,,,,,,,9851,2008,9,6,2008,9,8,16,,118000,,118000,,,,,1080,1359,79.4563044,"Jawa Barat, Kalimantan Selatan, Kalimantan Tengah, Kalimantan Timur, Maluku, Riau, Sulawesi Selatan, Sulawesi Tengah, Sumatera Utara (Adm1). Bonebolango, Gorontalo, Kota Gorontalo (Adm2).",
2008-0618-IDN,2008,0618,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Jawa Tengah, Gorontalo, Kalimantan Barat, Sulawesi Tengah, Bali, Bengkulu, Banten, Sumatera Utara, Jawa Barat provinces",,,,,,,,,2008,10,,2008,10,,5,,11000,,11000,,,,,,,79.4563044,"Bali, Banten, Bengkulu, Gorontalo, Jawa Barat, Jawa Tengah, Kalimantan Barat, Sulawesi Tengah, Sumatera Utara (Adm1).",
2008-0635-IDN,2008,0635,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Lombok Barat district (Nusatenggara Barat province),Heavy rain,,,,,,,126700,2008,12,26,2009,1,12,24,,15000,,15000,,,,,,,79.4563044,Lombok Barat (Adm2).,
2009-0063-IDN,2009,0063,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Blora, Sragen, Bojonegoro, Jember, Ngawi, Pasuruan districts (Jawa Timur province), Luwu district (Sulawesi Selatan province)",Incessant rains,"Slide (land, mud, snow, rock)",,,,,,60610,2009,1,27,2009,2,2,18,,12000,,12000,,,,,,,79.17380276,"Blora, Bojonegoro, Jember, Luwu, Ngawi, Pasuruan, Sragen (Adm2).",
2009-0121-IDN,2009,0121,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Cireundeu village (Tangerang district, Banten province)",Heavy rain,Broken Dam/Burst bank,,,,,,19200,2009,3,26,2009,3,27,64,,1600,,1600,,,,,,,79.17380276,Tangerang (Adm2).,
2007-0161-MMR,2007,0161,FL-2007-000080,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,Rakhine province,,"Slide (land, mud, snow, rock)",,,,,,,2007,6,11,2007,6,11,,,,,,,,,,,,76.5186792,Rakhine (Adm1).,
2007-0553-PHL,2007,0553,,Natural,Hydrological,Flood,Coastal flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Iligan City area (Lanao Del Norte district, Region X province), Lugait area (Misamis Oriental district, Region X province), Surigao, Tagana-an, Placer areas (Surigao del Norte district, Region XIII province), Polomolok area (South Cotabato district, Region XIII province), Region VII (Central Visayas) province",Tropical storm Lando,"Slide (land, mud, snow, rock)",,,,,,11140,2007,11,18,2007,11,21,11,,16463,,16463,,,,,2520,3293,76.5186792,"Region VII (Central Visayas) (Adm1). Lanao Del Norte, Misamis Oriental, South Cotabato, Surigao Del Norte (Adm2).",
2007-0525-PHL,2007,0525,FL-2007-000125,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Baao, Bato, Nabua, Buhi, Bula, Pili, Bombon, Cabusao, Calabanga, Camaligan, Canaman, Gainza, Libmanan, Magarao, Milaor, Minalabac, San Fernando, Iriga City and Naga City areas (Camarines Sur district, Region V province), Libon, Ligao City, Oas, Polangui. Ligao City areas (Albay district, Region V province), Baras, Bato, San Miguel, San Andres, Caramoran areas (Catanduanes district, Region V province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,4600,2007,10,27,2007,11,1,20,,,,,,,,,,,76.5186792,"Albay, Camarines Sur, Catanduanes (Adm2).",
2007-0142-THA,2007,0142,FF-2007-000047,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Sai Rung, Phrai Sawan areas (Yan Ta Khao district, Trang province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,290,2007,4,14,2007,4,15,38,,,,,,,,,,,76.5186792,Yan Ta Khao (Adm2).,
2007-0409-MMR,2007,0409,FL-2007-000146,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Athok village (Yekyi area, Pathein district, Ayeyawaddy province), Kachin province",Heavy rain,Broken Dam/Burst bank,,,,,,183500,2007,8,14,2007,8,29,,55,61689,,61744,,,,,,,76.5186792,Kachin (Adm1). Pathein (Adm2).,
2007-0611-THA,2007,0611,FL-2007-000222,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Narathiwat, Yala, Songkhla provinces",Monsoonal rain,Broken Dam/Burst bank,,,,Yes,,,2007,12,7,2007,12,21,3,,65000,,65000,,,,,,,76.5186792,"Narathiwat, Songkhla, Yala (Adm1).",
2007-0410-KHM,2007,0410,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kampong Thom, Ratanak Kiri, Preah Vihear provinces",Monsoonal rain,,,,,,,64580,2007,8,10,2007,8,24,2,,19000,,19000,,,,,1000,1307,76.5186792,"Kampong Thom, Preah Vihear, Ratanak Kiri (Adm1).",
2007-0186-MMR,2007,0186,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,Yangon province,Heavy rain,,,,,,,15670,2007,5,3,2007,5,9,5,,3000,,3000,,,,,,,76.5186792,Yangon (Adm1).,
2007-0318-MMR,2007,0318,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Arakann, Yangon provinces",Monsoonal rain,,,,,,,119100,2007,7,6,2007,7,11,,55,97628,4237,101920,,,,,,,76.5186792,"Rakhine, Yangon (Adm1).",
2007-0611-MYS,2007,0611,FL-2007-000222,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Johor, Kelantan, Pahang, Terengganu provinces",Monsoonal rain,,,,,,,,2007,12,7,2007,12,21,29,,,29000,29000,,,,,363000,474394,76.5186792,"Johor, Kelantan, Pahang, Terengganu (Adm1).",
2007-0577-PHL,2007,0577,,Natural,Hydrological,Flood,Coastal flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Sulu, Tawi-tawi districts (ARMM province), Ilocos Norte, La Union, Pangasinan districts (Region I province), Zamboanga Del Sur, Zamboanga del Norte districts (Region IX province), Antique, Negros Occidental districts (Region VI province), Negros Oriental district (Region VII province), Misamis Oriental, Camiguin districts (Region X province)",,,,,,,,,2007,11,28,2007,11,28,,,33571,,33571,,,,,,,76.5186792,"Antique, Camiguin, Ilocos Norte, La Union, Misamis Oriental, Negros Occidental, Negros Oriental, Pangasinan, Sulu, Tawi-tawi, Zamboanga Del Norte, Zamboanga Del Sur (Adm2).",
2007-0665-PHL,2007,0665,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Naujan, Victoria areas (Oriental Mindoro district, Region IV province)",Continuous rain,,,,,,,,2007,12,1,2007,12,4,,,12205,,12205,,,,,,,76.5186792,Mindoro Oriental (Adm2).,
2007-0181-THA,2007,0181,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Phichit, Phrae, Uttaradit, Nakhon Sawan, Nan, Phitsanulok provinces",Heavy rain,,,,,,,38380,2007,5,11,2007,5,21,,,1000,,1000,,,,,,,76.5186792,"Nakhon Sawan, Nan, Phichit, Phitsanulok, Phrae, Uttaradit (Adm1).",
2007-0446-THA,2007,0446,FL-2007-000199,Natural,Hydrological,Flood,Riverine flood,,Monsoonal rain,Thailand,THA,South-Eastern Asia,Asia,"Phetchabun, Loei, Kalasin, Mukdahan, Chiang Rai, Phichit provinces",Monsoonal rain,,,,,,,139500,2007,9,5,2007,11,10,10,,17000,,17000,,,,,,,76.5186792,"Chiang Rai, Kalasin, Loei, Mukdahan, Phetchabun, Phichit (Adm1).",
2007-0530-THA,2007,0530,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Chumphon, Surat Thani provinces",Heavy rains,,,,,,,13140,2007,10,22,2007,10,29,2,,100000,,100000,,,,,1500,1960,76.5186792,"Chumphon, Surat Thani (Adm1).",
2007-0323-VNM,2007,0323,FL-2007-000122,Natural,Hydrological,Flood,Coastal flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Dak Lak, Lam Dong, Ha Tinh provinces",Tropical storm,,,Yes,,,4400,,2007,8,5,2007,8,7,74,130,416000,,416130,,,,,130000,169893,76.5186792,"Dak Lak, Ha Tinh, Lam Dong (Adm1).",
2007-0558-VNM,2007,0558,FL-2007-000201,Natural,Hydrological,Flood,Coastal flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Khanh Hoa, Quang Ngai, Binh Dinh, Quang Nam, Thua Thien-Hue, Ninh Thuan, Quang Tri, Da Nang City provinces",Typhoon Peipah,,,,,,,36820,2007,11,10,2007,11,21,55,,150000,,150000,,,,,350000,457405,76.5186792,"Binh Dinh, Da Nang City, Khanh Hoa, Ninh Thuan, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1).",
2007-0512-VNM,2007,0512,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thua Thien - Hue, Quang Ngai, Quang Tri, Quang Nam provinces",Heavy rains,,,,,,,24810,2007,10,14,2007,10,24,15,,22000,,22000,,,,,10000,13069,76.5186792,"Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1).",
2007-0522-VNM,2007,0522,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thua Thien-Hue, Quang Ngai, Quang Nam, Quan Binh provinces",Heavy rain,,,,,,,35110,2007,10,28,2007,11,9,83,42,94000,,94042,,,,,300000,392061,76.5186792,"Quang Binh, Quang Nam, Quang Ngai, Thua Thien - Hue (Adm1).",
