Year,Disaster Type,Disaster Subtype,Country,ISO,No Injured,No Affected,No Homeless,Total Affected,Total Damages,"Total Damages, Adjusted",CPI
2015,Flood,,Lao People's Democratic Republic (the),LAO,,47800,,47800,10000,11433,87.46993221
2016,Flood,,Indonesia,IDN,,105000,,105000,10000,11290,88.57345288
2020,Flood,,Indonesia,IDN,,115000,,115000,10000,10470,95.51296742
2020,Flood,,Indonesia,IDN,51,14483,,14534,10000,10470,95.51296742
2011,Flood,Riverine flood,Philippines (the),PHL,3,944778,,944781,10666,12849,83.01267439
2008,Flood,Flash flood,Thailand,THA,,700000,,700000,11500,14473,79.4563044
2005,Flood,Flash flood,Viet Nam,VNM,,33800,,33800,12000,16650,72.07141045
2011,Flood,Riverine flood,Philippines (the),PHL,164,638254,,638418,12411,14951,83.01267439
2000,Flood,Riverine flood,Viet Nam,VNM,3,25000,,25003,15000,23604,63.54954734
2001,Flood,Riverine flood,Cambodia,KHM,,1669182,,1669182,15000,22955,65.34555871
2005,Flood,Riverine flood,Viet Nam,VNM,,10000,,10000,15000,20813,72.07141045
2019,Flood,,Indonesia,IDN,2,13000,,13002,15000,15898,94.3490925
2008,Flood,Riverine flood,Thailand,THA,,839573,,839573,16000,20137,79.4563044
2017,Flood,Riverine flood,Indonesia,IDN,,17410,,17410,19000,21004,90.46017931
2020,Flood,Riverine flood,Timor-Leste,TLS,7,9124,,9131,20000,20940,95.51296742
2006,Flood,Flash flood,Malaysia,MYS,,100000,,100000,22000,29571,74.39638749
2016,Flood,,Indonesia,IDN,,,8920,8920,22000,24838,88.57345288
2016,Flood,,Viet Nam,VNM,,205205,1135,206340,22000,24838,88.57345288
2020,Flood,Flash flood,Viet Nam,VNM,1,2620,,2621,22000,23034,95.51296742
2009,Flood,Flash flood,Philippines (the),PHL,,505102,,505102,22960,28999,79.17380276
2018,Flood,Flash flood,Viet Nam,VNM,18,16710,,16728,23000,24819,92.6696698
2002,Flood,Riverine flood,Viet Nam,VNM,,1138200,,1138200,23900,36004,66.3819637
2001,Flood,Flash flood,Thailand,THA,109,450000,,450109,24500,37493,65.34555871
2003,Flood,Riverine flood,Thailand,THA,,3000,,3000,25000,36825,67.88889569
2006,Flood,Flash flood,Indonesia,IDN,39,17500,,17539,25000,33604,74.39638749
2006,Flood,Flash flood,Thailand,THA,,342895,,342895,25000,33604,74.39638749
2016,Flood,,Thailand,THA,,582343,,582343,25000,28225,88.57345288
2018,Flood,Flash flood,Viet Nam,VNM,,105000,,105000,25000,26978,92.6696698
2021,Flood,Flash flood,Philippines (the),PHL,,38160,,38160,25000,25000,100
2005,Flood,Riverine flood,Viet Nam,VNM,,,18000,18000,27000,37463,72.07141045
2006,Flood,Riverine flood,Indonesia,IDN,,10000,,10000,27100,36426,74.39638749
2012,Flood,Riverine flood,Viet Nam,VNM,40,,17500,17540,30000,35406,84.7304789
2008,Flood,Riverine flood,Philippines (the),PHL,37,875306,,875343,30733,38679,79.4563044
2003,Flood,Coastal flood,Viet Nam,VNM,29,216745,5000,221774,32000,47136,67.88889569
2000,Flood,Riverine flood,Indonesia,IDN,21,386000,,386021,34000,53502,63.54954734
2003,Flood,Riverine flood,Viet Nam,VNM,34,185135,8880,194049,35000,51555,67.88889569
2016,Flood,,Viet Nam,VNM,16,559255,2850,562121,35000,39515,88.57345288
2002,Flood,Flash flood,Thailand,THA,62,3289358,,3289420,35827,53971,66.3819637
2013,Flood,Riverine flood,Philippines (the),PHL,21,100000,,100021,36000,41874,85.97164225
2003,Flood,Riverine flood,Viet Nam,VNM,,1000,,1000,38000,55974,67.88889569
2011,Flood,Riverine flood,Viet Nam,VNM,,300000,,300000,44000,53004,83.01267439
2019,Flood,Flash flood,Viet Nam,VNM,,,500,500,45000,47695,94.3490925
2010,Flood,Flash flood,Philippines (the),PHL,13,1972433,,1972446,47411,58916,80.47228515
2021,Flood,,Indonesia,IDN,,228650,,228650,50000,50000,100
2020,Flood,Flash flood,Thailand,THA,,691659,,691659,50000,52349,95.51296742
2000,Flood,,Thailand,THA,,2500000,,2500000,51050,80331,63.54954734
2006,Flood,Flash flood,Indonesia,IDN,56,28505,670,29231,55200,74197,74.39638749
2000,Flood,Riverine flood,Thailand,THA,570,808231,,808801,57500,90481,63.54954734
2002,Flood,Riverine flood,Viet Nam,VNM,116,291500,,291616,58000,87373,66.3819637
2004,Flood,Riverine flood,Indonesia,IDN,,13000,,13000,60000,86075,69.70644216
2013,Flood,Riverine flood,Lao People's Democratic Republic (the),LAO,77,350000,,350077,60000,69790,85.97164225
2013,Flood,Riverine flood,Lao People's Democratic Republic (the),LAO,,224176,,224176,61000,70954,85.97164225
2010,Flood,Riverine flood,Cambodia,KHM,,,,,70000,86986,80.47228515
2013,Flood,Riverine flood,Viet Nam,VNM,66,2127865,2070,2130001,72000,83749,85.97164225
2012,Flood,Riverine flood,Philippines (the),PHL,14,4451711,,4451725,72330,85365,84.7304789
2016,Flood,,Indonesia,IDN,,105753,,105753,74000,83546,88.57345288
2010,Flood,Flash flood,Indonesia,IDN,3417,9011,,12428,78000,96928,80.47228515
2000,Flood,Flash flood,Indonesia,IDN,,50000,,50000,79000,124312,63.54954734
2001,Flood,Riverine flood,Viet Nam,VNM,,1570270,,1570270,84000,128547,65.34555871
2017,Flood,Flash flood,Viet Nam,VNM,21,3000,1140,4161,88000,97280,90.46017931
2017,Flood,,Viet Nam,VNM,38,40000,,40038,88000,97280,90.46017931
2005,Flood,Flash flood,Thailand,THA,,700000,,700000,97000,134589,72.07141045
2013,Flood,Riverine flood,Thailand,THA,,,,,97000,112828,85.97164225
2019,Flood,Flash flood,Indonesia,IDN,915,58625,,59540,103000,109169,94.3490925
2016,Flood,Riverine flood,Viet Nam,VNM,30,659390,195,659615,104280,117733,88.57345288
2010,Flood,Riverine flood,Viet Nam,VNM,8,39000,,39008,107700,133835,80.47228515
2015,Flood,Riverine flood,Myanmar,MMR,,1621703,,1621703,119000,136047,87.46993221
2016,Flood,,Thailand,THA,,204000,,204000,120000,135481,88.57345288
2005,Flood,Riverine flood,Thailand,THA,40,119270,,119310,121000,167889,72.07141045
2007,Flood,Coastal flood,Viet Nam,VNM,130,416000,,416130,130000,169893,76.5186792
2016,Flood,,Malaysia,MYS,,25000,,25000,132000,149029,88.57345288
2010,Flood,Flash flood,Viet Nam,VNM,75,679750,,679825,142500,177080,80.47228515
2014,Flood,Riverine flood,Indonesia,IDN,,128182,,128182,153000,175125,87.36629784
2010,Flood,Riverine flood,Viet Nam,VNM,,761000,,761000,154000,191370,80.47228515
2000,Flood,Riverine flood,Cambodia,KHM,53,3448000,,3448053,160000,251772,63.54954734
2014,Flood,Riverine flood,Indonesia,IDN,,259100,1250,260350,173000,198017,87.36629784
2004,Flood,Riverine flood,Thailand,THA,,5000,,5000,175000,251053,69.70644216
2011,Flood,Riverine flood,Viet Nam,VNM,,600000,,600000,175002,210814,83.01267439
2011,Flood,Flash flood,Philippines (the),PHL,,8610,,8610,178881,215486,83.01267439
2015,Flood,Flash flood,Viet Nam,VNM,,15000,,15000,204000,233223,87.46993221
2015,Flood,Riverine flood,Indonesia,IDN,,,,,235000,268664,87.46993221
2000,Flood,Riverine flood,Viet Nam,VNM,4,5000000,,5000004,250000,393394,63.54954734
2010,Flood,Riverine flood,Viet Nam,VNM,,10000,,10000,256000,318122,80.47228515
2014,Flood,Riverine flood,Malaysia,MYS,,230000,,230000,284000,325068,87.36629784
2007,Flood,Riverine flood,Viet Nam,VNM,42,94000,,94042,300000,392061,76.5186792
